# N9040B Phase Noise Log Plot export
# timestamp=20260311_145411
# carrier_freq_Hz=55000000.0
# start_offset_Hz_req=1.0
# stop_offset_Hz_req=100000000.0
# signal_tracking=False
# tracking_span_Hz=None
# auto_tune=False
# avg_enable=False
# avg_count=1
# avg_mode=REPeat
# smooth=4.0
# method=PN
# export_trace=smoothed
# compute_frequency_noise=True
# self_heterodyne_delay_freq_Hz=200000.0
# self_heterodyne_tau_s=5e-06
# self_heterodyne_zero_mask_Hz=0.0
# self_heterodyne_h2_epsilon=1e-12
# scalar_carrier_power_dBm=-0.96
# scalar_carrier_frequency_Hz=55000000.0
# scalar_rms_phase_noise_deg=197.6650987
# scalar_rms_phase_noise_rad=3.449906788
# scalar_residual_FM_Hz=744385.8515
# scalar_spot_noise_start_dBc_per_Hz=-0.2
# scalar_spot_noise_stop_dBc_per_Hz=-121.48
offset_Hz,phase_noise_dBc_per_Hz,phase_noise_raw_dBc_per_Hz,phase_noise_smoothed_dBc_per_Hz,freq_noise_psd_Hz2_per_Hz,freq_noise_asd_Hz_per_sqrtHz
301.9952,-31.19,-32.77,-31.19,770377.3619149713,877.7114343079799
311.4106,-31.48,-31.25,-31.48,720615.6978720897,848.890863345866
321.1195,-31.67,-33.26,-31.67,689769.4220820488,830.5235830980653
331.1311,-31.92,-35.91,-31.92,651184.6747827807,806.9601444822295
341.4549,-32.08,-28.51,-32.08,627631.0477302741,792.2316881634274
352.1005,-32.37,-30.89,-32.37,587089.9998309406,766.2179845389566
363.0781,-32.64,-32.2,-32.64,551702.5144833672,742.7667968369125
374.3978,-32.85,-34.9,-32.85,525660.4003989507,725.024413657189
386.0705,-33.06,-34.01,-33.06,500847.57873920404,707.7058560865553
398.1072,-33.4,-34.3,-33.4,463133.2010215681,680.538904855239
410.5191,-33.75,-35.13,-33.75,427273.8109344461,653.6618475438552
423.3179,-34.16,-33.38,-34.16,388782.45287052874,623.52421995503
436.5158,-34.33,-34.77,-34.33,373858.3292365761,611.4395548511529
450.1252,-34.36,-34.42,-34.36,371285.0750807217,609.3316626277693
464.1589,-34.5,-34.05,-34.5,359507.49594675563,599.5894394890187
478.6301,-34.41,-32.93,-34.41,367035.80915875785,605.8348035221795
493.5525,-34.42,-35.93,-34.42,366192.08715641714,605.1380728035687
508.9401,-34.21,-37.76,-34.21,384334.6201274981,619.9472720542434
524.8075,-34.08,-35.67,-34.08,396013.5924419088,629.2961087134647
541.1695,-33.84,-34.66,-33.84,418514.69874392013,646.9271201178075
558.0417,-33.7,-33.88,-33.7,432226.4879088387,657.4393416193153
575.4399,-33.51,-37.32,-33.51,451556.48360618827,671.9795261808117
593.3806,-33.17,-37.86,-33.17,488329.35451084434,698.8056629069661
611.8806,-32.82,-36.7,-32.82,529314.3009658204,727.5398964770388
