# N9040B Phase Noise Log Plot export
# timestamp=20260129_191311
# carrier_freq_Hz=55000000.0
# start_offset_Hz_req=10.0
# stop_offset_Hz_req=100000000.0
# signal_tracking=True
# tracking_span_Hz=None
# auto_tune=True
# avg_enable=True
# avg_count=10
# avg_mode=REPeat
# smooth=4.0
# method=PN
# export_trace=smoothed
# compute_frequency_noise=True
# self_heterodyne_delay_freq_Hz=200000.0
# self_heterodyne_tau_s=5e-06
# self_heterodyne_zero_mask_Hz=0.0
# self_heterodyne_h2_epsilon=1e-12
# sa_enabled=True
# sa_center_freq_Hz=55000000.0
# sa_span_Hz=1000000.0
# sa_rbw_Hz=100.0
# sa_trace_name=TRACE1
# sa_avg_enable=True
# sa_avg_count=10
# sa_avg_method=manual_power_average_mW
# scalar_carrier_power_dBm=-2.25
# scalar_carrier_frequency_Hz=54999979.6
# scalar_rms_phase_noise_deg=12.87906482
# scalar_rms_phase_noise_rad=0.2247820856
# scalar_residual_FM_Hz=1023013.743
# scalar_spot_noise_start_dBc_per_Hz=-34.5
# scalar_spot_noise_stop_dBc_per_Hz=-119.07
offset_Hz,phase_noise_dBc_per_Hz,phase_noise_raw_dBc_per_Hz,phase_noise_smoothed_dBc_per_Hz,freq_noise_psd_Hz2_per_Hz,freq_noise_asd_Hz_per_sqrtHz
356.1777,-55.38,-56.45,-55.38,5871.306895606775,76.62445363985817
365.8755,-55.46,-54.48,-55.46,5764.146787285096,75.92197828880052
375.8374,-55.57,-54.95,-55.57,5619.986803214803,74.96657123821792
386.0705,-55.69,-55.57,-55.69,5466.830066108999,73.93801502683851
396.5823,-55.8,-56.16,-55.8,5330.10627224777,73.00757681397027
407.3803,-55.89,-55.62,-55.89,5220.789442478355,72.25503056866252
418.4723,-56.01,-56.21,-56.01,5078.512262301905,71.26368122895354
429.8662,-56.11,-56.58,-56.11,4962.915155265544,70.44796061821481
441.5704,-56.2,-56.39,-56.2,4861.1297708954435,69.72180269395969
453.5933,-56.26,-56.57,-56.26,4794.436813963379,69.24187182596509
465.9436,-56.4,-56.62,-56.4,4642.351336356302,68.13480268083487
478.6301,-56.54,-56.64,-56.54,4495.09043030769,67.04543556654465
491.662,-56.58,-56.36,-56.58,4453.883825536225,66.73742447484938
505.0488,-56.73,-56.62,-56.73,4302.683106353297,65.59484054674802
518.8,-56.86,-56.9,-56.86,4175.801676059226,64.62044317442606
532.9257,-56.96,-56.86,-56.96,4080.753811413491,63.880778105886364
547.436,-57.08,-56.58,-57.08,3969.547059046913,63.0043415888692
562.3413,-57.21,-57.42,-57.21,3852.490227548897,62.068431811581135
577.6525,-57.33,-57.52,-57.33,3747.5045533784823,61.21686494241993
593.3806,-57.42,-56.47,-57.42,3670.648740744145,60.58587905398539
609.5369,-57.51,-57.46,-57.51,3595.3694285227057,59.96139948769296
626.1331,-57.63,-57.85,-57.63,3497.391529019248,59.138748118465
643.1812,-57.74,-58.05,-57.74,3409.9265687510056,58.394576535419844
660.6934,-57.81,-57.35,-57.81,3355.4119149746134,57.92591747201432
678.6825,-57.92,-58.1,-57.92,3271.498330431495,57.19701329992236
697.1614,-58.03,-57.83,-58.03,3189.6836418035423,56.477284299119255
716.1434,-58.15,-58.01,-58.15,3102.7627534656367,55.702448361500565
735.6423,-58.26,-58.88,-58.26,3025.1685763506152,55.001532490928064
755.672,-58.4,-58.56,-58.4,2929.21094035288,54.1221852880395
776.2471,-58.5,-58.94,-58.5,2862.5413797602196,53.502723106027226
797.3824,-58.59,-58.64,-58.59,2803.83828413121,52.95128217646113
819.0932,-58.72,-58.53,-58.72,2721.1608558515463,52.16474725187065
841.3951,-58.8,-59.4,-58.8,2671.502209702665,51.68657668778872
864.3043,-58.89,-59.06,-58.89,2616.7180703304157,51.15386662150199
887.8372,-58.98,-58.21,-58.98,2563.0578366579352,50.62665144622875
912.0108,-59.1,-58.87,-59.1,2493.2163169561727,49.932117088665215
936.8427,-59.21,-59.12,-59.21,2430.8692526723044,49.30384622595183
962.3506,-59.31,-59.84,-59.31,2375.5453782208474,48.73956686533896
988.5531,-59.42,-59.26,-59.42,2316.1418656553956,48.126311573352424
1015.469,-59.49,-59.83,-59.49,2279.1194295349865,47.740123895262215
1043.1177,-59.62,-59.77,-59.62,2211.9184776191332,47.03103738616801
1071.5193,-59.72,-59.55,-59.72,2161.579743690204,46.492792384306235
1100.6942,-59.8,-59.38,-59.8,2122.1375284697688,46.066663960718586
1130.6634,-59.86,-59.4,-59.86,2093.0322219027767,45.74966909063689
1161.4486,-59.89,-59.94,-59.89,2078.635953198895,45.59206019910589
1193.072,-59.97,-60.04,-59.97,2040.709068727523,45.17420800332334
1225.5565,-60.11,-60.14,-60.11,1975.986171317794,44.45206599605685
1258.9254,-60.15,-60.52,-60.15,1957.8835715575146,44.24797816349934
1293.2029,-60.26,-60.25,-60.26,1908.9299291743293,43.69130267197728
1328.4137,-60.43,-60.58,-60.43,1835.6643954097872,42.84465422208221
1364.5831,-60.57,-60.55,-60.57,1777.447425393655,42.15978445620488
1401.7374,-60.69,-61.45,-60.69,1729.021664926072,41.58150628495885
1439.9033,-60.78,-61.23,-60.78,1693.5745124102618,41.15306200527807
1479.1084,-60.91,-60.56,-60.91,1643.646415570243,40.54190937252762
1519.3809,-61.06,-59.9,-61.06,1587.8618354002695,39.84798408201185
1560.75,-61.19,-59.98,-61.19,1541.05188872568,39.256233756254304
1603.2454,-61.33,-61.04,-61.33,1492.1829210973206,38.628783582936194
1646.8979,-61.49,-61.35,-61.49,1438.2259910643422,37.923950098379024
1691.7389,-61.59,-59.82,-61.59,1405.50527725107,37.490069048363594
1737.8008,-61.67,-61.63,-61.67,1379.8698436974973,37.14659935576199
1785.1169,-61.8,-63.75,-61.8,1339.1957976779306,36.59502422021238
1833.7213,-61.93,-62.44,-61.93,1299.7216730306286,36.05165284741642
1883.6491,-62.1,-62.49,-62.1,1249.8473991251317,35.35318089118901
1934.9363,-62.22,-62.05,-62.22,1215.8051723262643,34.86839790306208
1987.6199,-62.28,-62.33,-62.28,1199.144082528692,34.62865984309373
2041.7379,-62.39,-62.97,-62.39,1169.1740246877146,34.19318681678727
2097.3295,-62.53,-62.27,-62.53,1132.106744366168,33.646793968611156
2154.4347,-62.67,-63.2,-62.67,1096.2157835893336,33.10914954494201
2213.0947,-62.77,-63.68,-62.77,1071.2854410963246,32.730497110437
2273.3519,-62.96,-62.46,-62.96,1025.450875039243,32.02266189808778
2335.2497,-63.18,-62.37,-63.18,974.8213903473873,31.22212981760513
2398.8329,-63.31,-63.19,-63.31,946.0972999461114,30.75869470484909
2464.1473,-63.28,-63.76,-63.28,952.6802224872616,30.865518341464178
2531.24,-63.31,-64.4,-63.31,946.1481011519656,30.759520496132016
2600.1596,-63.41,-64.2,-63.41,924.638038336588,30.40786145615288
2670.9556,-63.48,-62.52,-63.48,909.8820276867069,30.16425082256655
2743.6792,-63.56,-63.18,-63.56,893.3037430095679,29.888187349010778
2818.3829,-63.65,-63.18,-63.65,875.0119762032118,29.580601349587397
2895.1206,-63.75,-63.19,-63.75,855.125111612143,29.242522319597242
2973.9477,-63.82,-63.38,-63.82,841.4846296901969,29.00835448091113
3054.9211,-63.91,-65.64,-63.91,824.2588667847773,28.709908860614263
3138.0992,-64.0,-64.87,-64.0,807.3875168395069,28.414565223481898
3223.542,-64.07,-64.51,-64.07,794.5138076584528,28.187121308470875
3311.3112,-64.17,-63.1,-64.17,776.4650994175545,27.865123351917077
3401.4702,-64.26,-63.28,-64.26,760.5776543684865,27.57857237727302
3494.0839,-64.29,-64.64,-64.29,755.3815574709249,27.484205600142875
3589.2193,-64.3,-63.73,-64.3,753.6860077239626,27.45334237800495
3686.9451,-64.41,-64.04,-64.41,734.8790337171857,27.1086523773718
3787.3316,-64.53,-65.08,-64.53,714.8956656058099,26.737532900509162
3890.4514,-64.63,-64.61,-64.63,698.6681584677272,26.43233168806201
3996.379,-64.73,-64.94,-64.73,682.8114570219069,26.130661243487637
